78,0.553,GBP
3,0.647,GBP
23,1.222,GBP
43,0.924,GBP
2,0.556,USD
37,1.341,GBP
14,1.733,GBP
43,1.259,GBP
28,0.989,GBP
38,0.98,GBP
56,0.896,GBP
20,1.661,USD
28,0.982,GBP
62,0.636,EUR
63,0.688,GBP
43,1.155,GBP
23,1.251,GBP
5,1.856,GBP
38,0.98,GBP
43,0.99,GBP
13,1.956,GBP
62,0.686,EUR
43,1.217,GBP
2,1.031,USD
2,0.498,USD
2,1.052,USD
63,1.093,GBP
23,1.365,GBP
56,0.94,GBP
24,1.197,EUR
5,1.46,GBP
38,0.921,GBP
28,0.943,GBP
14,1.765,GBP
20,2.018,USD
56,1.057,GBP
76,1.054,GBP
24,1.428,EUR
43,1.038,GBP
8,2.379,GBP
69,1.737,EUR
62,0.761,EUR
63,0.866,GBP
56,0.494,GBP
56,0.415,GBP
78,0.789,GBP
